Apple	Quả táo
Ambivalence	Mâu thuẫn tâm lý
Ameliorate	Cải thiện
Amiable	Đáng yêu
Amicable	Hòa thuận
Ample	Rộng rãi
Analogous	Tương tự
Anarchy	Hỗn loạn
Anecdote	Chuyện kể
Animosity	Thù địch
Annihilate	Tiêu diệt
Anomaly	Không bình thường
Antipathy	Ghét
Apathy	Lãnh đạm
Aplomb	Sự tự tin
Apprehensive	Lo sợ
Arbitrary	Tùy ý
Arcane	Bí ẩn
Archetype	Nguyên mẫu
Articulate	Linh hoạt trong việc diễn đạt
Asinine	Ngớ ngẩn
Assuage	Dịu đi
Austere	Khắc nghiệt
Avarice	Tham lam
Aversion	Sự ghét
Baleful	Báo điềm xấu
Banish	Đuổi đi
Bereft	Mất mát
Blatant	Rõ ràng
Bolster	Hỗ trợ
Brevity	Sự ngắn gọn
Bucolic	Nông thôn
Cajole	Ngọt ngào lừa
Candor	Thành thực
Capricious	Thất thường
Carping	Hay phê phán
Catalyst	Chất xúc tác
Caustic	Cay nghiệt
Censure	Lên án
Chagrin	Thất vọng
Charlatan	Người lừa đảo
Chide	Mắng mỏ
Choleric	Dễ cáu giận
Churlish	Thô lỗ
Circumspect	Thận trọng
Clandestine	Bí mật
Clairvoyant	Thấy trước
Clemency	Lòng nhân từ
Coalesce	Hợp nhất
Cognizant	Nhận thức được
Collusion	Âm mưu
Complacent	Tự mãn
Concede	Công nhận
Conciliatory	Hòa giải
Condescending	Coi thường
Condone	Bỏ qua
Confidant	Người tâm tình
Confluence	Sự hợp nhất
Conjecture	Sự phỏng đoán
Conspicuous	Nổi bật
Consummate	Hoàn hảo
Contentious	Hay cãi vã
Contrite	Ân hận
Conundrum	Vấn đề khó giải
Copious	Dồi dào
Corpulent	Mập mạp
Covet	Có tham vọng
Cower	Co rúm lại
Credence	Sự tin tưởng
Credulous	Dễ tin
Curtail	Cắt giảm
Cynical	Chua chát
Dearth	Sự thiếu hụt
Debilitate	Làm yếu đi
Debunk	Bác bỏ
Decipher	Giải mã
Decorum	Phép lịch sự
Deference	Sự kính trọng
Delineate	Mô tả
Demure	Nhút nhát
Denounce	Lên án
Deride	Chế nhạo
Derogatory	Mỉa mai
Despondent	Buồn rầu
Detrimental	Gây hại
Deviate	Lạc hướng
Dexterous	Khéo léo
Diatribe	Chửi rủa
Didactic	Mang tính giáo dục
Diffident	Thụ động
Dilettante	Một người am hiểu nông cạn
Disparate	Khác biệt
Dispel	Xua tan
Disrepute	Sự tiêu tan danh tiếng
Dissipate	Tiêu tan
Divulge	Tiết lộ
Docile	Ngoan ngoãn
Dogmatic	Độc đoán
Dubious	Nghi ngờ
Duplicity	Sự lừa dối
Ebullient	Hớn hở
Eclectic	Sự hòa hợp
Edify	Giáo dục
Efficacious	Hiệu quả
Eloquent	Hùng biện
Elusive	Khó nắm bắt
Emaciated	Suy nhược
Eminent	Xuất sắc
Empathy	Sự đồng cảm
Enervate	Làm yếu đi
Engender	Gây ra
Enhance	Nâng cao
Enigma	Bí ẩn
Enrapture	Làm mê mẩn
Enthrall	Mê hoặc
Epiphany	Sự hiểu rõ bất ngờ
Equanimity	Sự điềm tĩnh
Erratic	Không ổn định
Ethereal	Tinh khiết
Euphoric	Hạnh phúc
Evanescent	Sự tiêu tan
Exacerbate	Làm trầm trọng thêm
Exculpate	Tha thứ
Exemplary	Gương mẫu
Exonerate	Xóa tội
Exorbitant	Cắt cổ
Expedient	Thích hợp
Exquisite	Tuyệt vời
Extol	Khen ngợi
Exuberant	Hừng hực
Facilitate	Làm cho dễ dàng
Fathom	Hiểu rõ
Feasible	Khả thi
Fervent	Nồng nhiệt
Fiasco	Thất bại
Flabbergasted	Ngạc nhiên đến mức không biết nói gì
Flagrant	Thái quá
Flippant	Nói bất kính
Genial	Nhã nhặn
Gesticulate	Gắt tay
Glib	Nhanh nhẹn
Grotesque	Quái dị
Guile	Sự gian trá
Harangue	Diễn thuyết kháng chiến
Haughty	Ngạo mạn
Heedless	Không để ý
Heinous	Tàn ác
Heretic	Người dị đoan
Histrionic	Dở hơi
Idyllic	Lý tưởng
Imminent	Sắp xảy ra
Immutable	Bất biến
Impartial	Công bằng
Implacable	Không thể làm lành
Implicit	Ngụ ý
Implore	Cầu xin
Incisive	Sắc bén
Inclement	Thời tiết khắc nghiệt
Inexorable	Không thể ngăn cản
Infamous	Tai tiếng
Innocuous	Vô hại
Insidious	Lén lút
Insipid	Nhạt nhẽo
Insolent	Hỗn xược
Insurgent	Nổi loạn
Intrepid	Dũng cảm
Inundate	Tràn ngập
Inure	Làm quen với
Irreverent	Không tôn trọng
Jocular	Hài hước
Laconic	Ngắn gọn
Languid	Mệt mỏi
Loquacious	Nói nhiều
Lucid	Rõ ràng
Machiavellian	Kế sách
Magnanimous	Nhân hậu
Malevolent	Xấu xa
Malleable	Dễ uốn nắn
Maudlin	Rưng rưng
Misanthrope	Người ghét loài người
Mollify	Làm dịu đi
Monotonous	Nhàm chán
Mundane	Hằn ngày
Nemesis	Kẻ trả thù
Nonchalant	Hờ hững
Nostalgia	Hoài niệm
Notorious	Nổi tiếng
Novice	Người mới
Nuance	Sắc thái
Obdurate	Cứng đầu
Obliterate	Tiêu diệt
Oblivious	Lãng quên
Ominous	Có điềm báo xấu
Onerous	Nặng nề
Ostentatious	Phô trương
Pacify	Làm yên lòng
Palliate	Làm nhẹ bớt
Pariah	Người bị tẩy chay
Peculiar	Kỳ lạ
Pedantic	Kiểu học đòi
Penchant	Sở thích
Pertinent	Liên quan
Pervasive	Lan tràn
Petulant	Nóng nảy
Placate	Làm yên lòng
Plethora	Nhiều
Plummet	Rơi thảm
Ponder	Ngẫm nghĩ
Ponderous	Nặng nề
Pretentious	Phô trương
Prudent	Thận trọng
Pugnacious	Đáng gặp mặt
Pulchritudinous	Xinh đẹp
Quell	Dẹp tan
Rancor	Thù hằn
Rebuke	Mắng mỏ
Recluse	Người sống cô lập
Relegate	Đuổi ra khỏi
Reproach	Chỉ trích
Resilient	Bền bỉ
Resplendent	Rực rỡ
Reticent	Tự kiềm chế
Revere	Tôn kính
Rogue	Kẻ gian
Sage	Nhà thông thái
Salient	Nổi bật
Sanguine	Lạc quan
Sardonic	Cay độc
Savvy	Thạo việc
Scrupulous	Cẩn thận
Scurrilous	Lời lẽ bậy bạ
Serendipity	Tình cờ tốt lành
Serene	Bình yên
Serpentine	Uốn lưỡi
Tactile	Thích tiếp xúc
Tantamount	Tương đương
Tawdry	Rẻ rách
Tenuous	Mong manh
Unctuous	Dưới một cách giả dối
Vacuous	Trống rỗng
Vehement	Mạnh mẽ
Venerate	Tôn trọng
Verbose	Nói nhiều
Vex	Làm phật ý
Vicarious	Thuộc về người khác
Wary	Cảnh giác
Wistful	Tiếc nuối
Yield	Nhượng bộ
Zany	Kỳ cục
Zealot	Người nhiệt tình
Zenith	Đỉnh điểm
Enthralling	Cuốn hút, mê hoặc
Acrimony	Sự căm ghét, ác ý
Surreptitious	Lén lút, tiềm ẩn
Beautiful	Đẹp
Fast	Nhanh
Slow	Chậm
Happy	Hạnh phúc
Sad	Buồn
Angry	Tức giận
Eat	Ăn
Sleep	Ngủ
Wake up	Thức dậy
Dream	Mơ
Listen	Nghe
Speak	Nói
See	Nhìn thấy
Touch	Chạm
Feel	Cảm nhận
Think	Nghĩ
Learn	Học
Teach	Dạy
Play	Chơi
Work	Làm việc
Rest	Nghỉ ngơi
Clean	Dọn dẹp
Open	Mở
Close	Đóng
Break	Gãy
Fix	Sửa chữa
Build	Xây dựng
Destroy	Phá hủy
Paint	Sơn
Sing	Hát
Fly	Bay
Drive	Lái xe
Ride	Cưỡi
Jump	Nhảy
Climb	Leo
Fall	Rơi
Stand	Đứng
Sit	Ngồi
Lie down	Nằm xuống
Behind	Đằng sau
Under	Dưới
Above	Phía trên
Between	Giữa
Inside	Bên trong
Outside	Bên ngoài
Next to	Bên cạnh
Life	Cuộc sống
School	Trường học
City	Thành phố
Country	Quốc gia
World	Thế giới
Air	Không khí
Nature	Tự nhiên
Plant	Thực vật
Art	Nghệ thuật
Science	Khoa học
Sport	Thể thao
Health	Sức khỏe
Heart	Trái tim
Mind	Tâm hồn
Goal	Mục tiêu
Problem	Vấn đề
Solution	Giải pháp
Question	Câu hỏi
Answer	Câu trả lời
Happiness	Hạnh phúc
Sadness	Buồn bã
Anger	Tức giận
Fear	Sợ hãi
Joy	Niềm vui
Peace	Hòa bình
Freedom	Tự do
Hope	Hi vọng
Success	Thành công
Failure	Thất bại
Hate	Ghét
Smile	Nụ cười
Tear	Nước mắt
Laughter	Tiếng cười
Memory	Ký ức
Future	Tương lai
Past	Quá khứ
Present	Hiện tại
War	Chiến tranh
Justice	Công lý
Technology	Công nghệ
Space	Không gian
Culture	Văn hóa
Education	Giáo dục
Beauty	Vẻ đẹp
Strength	Sức mạnh
Weakness	Sự yếu đuối
Courage	Can đảm
Reality	Thực tế
Friendship	Tình bạn
Team	Đội nhóm
Teamwork	Làm việc nhóm
Challenge	Thách thức
Opportunity	Cơ hội
Change	Thay đổi
Growth	Sự phát triển
Innovation	Sáng tạo
Environment	Môi trường
Climate	Khí hậu
Weather	Thời tiết
Sunshine	Ánh nắng mặt trời
Wind	Gió
Storm	Bão
Snow	Tuyết
River	Sông
Forest	Rừng
Desert	Sa mạc
Beach	Bãi biển
Planet	Hành tinh
Galaxy	Ngân hà
Universe	Vũ trụ
Cloud	Đám mây
Rainbow	Cầu vồng
Thunder	Sấm sét
Lightning	Tia chớp
Earthquake	Động đất
Volcano	Núi lửa
Achieve	Đạt được
Adapt	Thích nghi
Explore	Khám phá
Discover	Khám phá
Create	Tạo ra
Invent	Phát minh
Improve	Cải thiện
Develop	Phát triển
Succeed	Thành công
Fail	Thất bại
Overcome	Vượt qua
Inspire	Truyền cảm hứng
Motivate	Thúc đẩy
Encourage	Khích lệ
Support	Hỗ trợ
Help	Giúp đỡ
Guide	Hướng dẫn
Lead	Dẫn dắt
Follow	Theo đuổi
Understand	Hiểu
Communicate	Giao tiếp
Collaborate	Hợp tác
Cooperate	Cộng tác
Negotiate	Đàm phán
Resolve	Giải quyết
Decide	Quyết định
Plan	Lập kế hoạch
Organize	Tổ chức
Manage	Quản lý
Control	Kiểm soát
Delegate	Ủy quyền
Evaluate	Đánh giá
Assess	Đánh giá
Measure	Đo lường
Monitor	Theo dõi
Review	Xem xét
Reflect	Phản chiếu
Adjust	Điều chỉnh
Modify	Thay đổi
Transform	Biến đổi
Evolve	Tiến hóa
Innovate	Cách tân
Experiment	Thử nghiệm
Test	Kiểm tra
Verify	Xác nhận
Validate	Xác nhận
Have fun	Vui chơi
Enjoy	Thưởng thức
Relax	Thư giãn
Concentrate	Tập trung
Focus	Tập trung
Meditate	Thiền định
Breathe	Thở
Move	Di chuyển
Walk	Đi bộ
Adventure	Phiêu lưu
Ugly	Xấu xí
Pretty	Xinh đẹp
Handsome	Đẹp trai
Attractive	Hấp dẫn
Cute	Dễ thương
Funny	Vui nhộn
Serious	Nghiêm túc
Excited	Hào hứng
Nervous	Lo lắng
Relaxed	Thư giãn
Stressed	 căng thẳng
Tired	Mệt mỏi
Energetic	Tràn đầy năng lượng
Lazy	Lười biếng
Ambitious	Có tham vọng
Confident	Tin tưởng
Insecure	Thiếu tự tin
Smart	Thông minh
Dumb	Ngốc nghếch
Wise	Khôn ngoan
Foolish	Ngu ngốc
Clever	Tài tình
Clumsy	Vụng về
Gentle	Nhẹ nhàng
Rough	Thô ráp
Kind	Tốt bụng
Mean	Xấu tính
Generous	Hào phóng
Greedy	Tham lam
Honest	Trung thực
Dishonest	Bất trung thực
Polite	Lịch sự
Rude	Thô lỗ
Shy	Rụt rè
Outgoing	Hướng ngoại
Introverted	Hướng nội
Sociable	Hòa đồng
Antisocial	Khép kín
Adventurous	Thích phiêu lưu
Cautious	Cẩn thận
Reckless	Liều lĩnh
Stingy	Keo kiệt
Tolerant	Khoan dung
Intolerant	Thiên vị
Adore	Yêu thương
Desire	Khao khát
Synchronize	Đồng bộ
Conquer	Chinh phục
Cherish	Trân trọng
Celebrate	Tổ chức kỷ niệm
Emerge	Nổi lên
Navigate	Điều hướng
Respect	Tôn trọng
Influence	Tác động
Revive	Hồi sinh
Dedicate	Tận tụy
Endure	Chịu đựng
Empower	Mạnh mẽ
Enrich	Làm giàu
Heal	Chữa lành
Pioneer	Tiên phong
Nurture	Nuôi dưỡng
Prosper	Thịnh vượng
Befriend	Kết bạn
Champion	Đấu tranh cho
Stimulate	Kích thích
Dominate	Thống trị
Inquire	Hỏi
Thrive	Phát triển mạnh mẽ
Excel	Xuất sắc
Prevail	Thắng lợi
Amplify	Tăng cường
Revitalize	Tái sinh
Appreciate	Trân trọng
Foster	Nuôi dưỡng
Spark	Kích hoạt
Convey	Truyền đạt
Illuminate	Chiếu sáng
Pursue	Theo đuổi
Resonate	Tạo cảm giác đồng điệu
Ingest	Tiêu hóa
Consume	Tiêu thụ
Unite	Đoàn kết
Collide	Va chạm
Sculpt	Tạo hình
Compose	Sáng tác
Rejoice	Vui mừng
Aspire	Khao khát
Ignite	Thắp sáng
Elevate	Nâng cao
Envision	Tưởng tượng
Venture	Mạo hiểm
Rejuvenate	Hồi sinh
Fascinate	Quyến rũ
Galvanize	Kích thích
Vitalize	Tái tạo
Strengthen	Củng cố
Fortify	Tăng cường
Cultivate	Trồng trọt
Sow	Gieo hạt
Reap	Gặt hái
Harvest	Thu hoạch
Blossom	Nở hoa
Bloom	Nở hoa
Flourish	Phát triển mạnh mẽ
Grow	Phát triển
Fulfill	Thực hiện
Realize	Nhận ra
Attain	Đạt được
Obtain	Đạt được
Acquire	Thu thập
Gain	Kiếm được
Earn	Kiếm tiền
Receive	Nhận được
Collect	Thu thập
Gather	Tập hợp
Hoard	Tích trữ
Save	Tiết kiệm
Preserve	Bảo tồn
Protect	Bảo vệ
Guard	Bảo vệ
Defend	Bảo vệ
Secure	Bảo vệ
Shelter	Che chở
Sanctuary	Nơi trú ẩn
Refuge	Nơi ẩn náu
Harbor	Nơi neo đậu
Shield	Lá chắn
Cover	Phủ lấp
Conceal	Che đậy
Camouflage	Ngụy trang
Veil	Màn che
Mask	Mặt nạ
Hide	Ẩn nấp
Disappear	Biến mất
Vanish	Biến mất
Evaporate	Bốc hơi
Erode	Xói mòn
Deteriorate	Suy tàn
Decay	Mục nát
Collapse	Sụp đổ
Crumble	Sụp đổ
Ruin	Hủy hoại
Wreck	Phá huỷ
Devastate	Tàn phá
Desolate	Hoang vắng
Astronomy	Thiên văn học
Economics	Kinh tế học
Society	Xã hội
Psychology	Tâm lý học
Philosophy	Triết học
Democracy	Dân chủ
Government	Chính phủ
Economy	Nền kinh tế
Architecture	Kiến trúc
History	Lịch sử
Literature	Văn học
Mathematics	Toán học
Physics	Vật lý học
Chemistry	Hóa học
Biology	Sinh học
Geography	Địa lý học
Medicine	Y học
Philanthropy	Từ thiện
Volunteer	Tình nguyện viên
Conflict	Xung đột
Wildlife	Động vật hoang dã
Moonlight	Ánh trăng
Diamond	Kim cương
Island	Hòn đảo
Fireworks	Pháo hoa
Journey	Hành trình
Whisper	Tiếng thì thầm
Echo	Tiếng vang
Serenade	Bài hát tặng tình yêu
Tornado	Cơn lốc xoáy
Miracle	Kỳ diệu
Whirlwind	Cuồng nhiệt
Butterfly	Con bướm
Dragon	Con rồng
Phoenix	Chim phượng hoàng
Rainforest	Rừng mưa nhiệt đới
Waterfall	Thác nước
Silhouette	Bóng đen
Sunrise	Bình minh
Autumn	Mùa thu
Innocence	Tình trong sáng
Grace	Duyên dáng
Whimsy	Lúc đùa giỡn
Enchantment	Sự mê hoặc
Charm	Phép thuật
Vibrant	Sống động
Majestic	Tráng lệ
Luminescent	Tỏa sáng
Halcyon	Yên bình
Melancholy	Nỗi buồn
Petrify	Làm sợ hãi
Surreal	Bất thực
Gossamer	Mỏng manh
Opaque	Mờ mịt
Opulent	Phong cách
Day	Ngày
Night	Đêm
Man	Người đàn ông
Woman	Người phụ nữ
Boy	Cậu bé
Girl	Cô gái
Death	Cái chết
Town	Thị trấn
Village	Làng
Building	Công trình xây dựng
Hospital	Bệnh viện
Bank	Ngân hàng
Store	Cửa hàng
Restaurant	Nhà hàng
Movie theater	Rạp chiếu phim
Museum	Bảo tàng
Park	Công viên
Clothes	Quần áo
Bus	Xe buýt
Newspaper	Tờ báo
Magazine	Tạp chí
Cooking	Nấu ăn
Friends	Bạn bè
big	to
small	nhỏ
tall	cao
short	thấp
long	dài
heavy	nặng
light	nhẹ
fast	nhanh
slow	chậm
hot	nóng
cold	lạnh
beautiful	đẹp
ugly	xấu
happy	vui vẻ
sad	buồn
angry	giận dữ
afraid	sợ hãi
hopeful	hy vọng
dreamy	mơ mộng
real	thực tế
imaginary	mơ tưởng
good	tốt
bad	xấu
new	mới
old	cũ
here	ở đây
there	ở đó
now	bây giờ
then	lúc đó
this	cái này
that	cái kia
he	anh ấy
she	cô ấy
it	nó
they	họ
I	tôi
you	bạn
we	chúng ta
is	là
are	là
was	là
were	là
have	có
has	có
had	có
do	làm
does	làm
did	làm
can	có thể
could	có thể
will	sẽ
would	sẽ
to	để
from	từ
in	trong
on	trên
at	ở
of	của
with	với
by	bởi
for	cho
about	về
as	như
until	cho đến
since	từ
while	trong khi
because	bởi vì
if	nếu
who	ai
what	cái gì
when	khi nào
where	ở đâu
why	tại sao
how	làm thế nào
and	và
or	hoặc
but	nhưng
not	không
also	cũng
easy	dễ dàng
difficult	khó khăn
important	quan trọng
unimportant	không quan trọng
necessary	cần thiết
unnecessary	không cần thiết
possible	có thể
impossible	không thể
true	đúng
false	sai
enough	đủ
not enough	không đủ
near	gần
far	xa
up	lên
down	xuống
in front of	ở phía trước
behind	ở phía sau
above	ở trên
below	ở dưới
left	trái
right	phải
start	bắt đầu
end	kết thúc
first	đầu tiên
last	cuối cùng
after	sau
before	trước
during	trong khi
unless	trừ khi
although	mặc dù
though	mặc dù
so	vì vậy
therefore	do đó
yet	vẫn chưa
love	yêu
hate	ghét
hope	hy vọng
dream	mơ ước
life	cuộc sống
death	cái chết
world	thế giới
country	quốc gia
city	thành phố
town	thị trấn
village	làng
building	công trình xây dựng
school	trường học
hospital	bệnh viện
bank	ngân hàng
store	cửa hàng
restaurant	nhà hàng
movie theater	rạp chiếu phim
museum	bảo tàng
park	công viên
beach	bãi biển
mountain	núi
river	sông
ocean	đại dương
animal	động vật
plant	cây cối
food	thức ăn
drink	đồ uống
clothes	quần áo
shoes	giày dép
computer	máy tính
phone	điện thoại
car	xe hơi
train	tàu hỏa
bus	xe buýt
airplane	máy bay
book	sách
newspaper	tờ báo
magazine	tạp chí
music	âm nhạc
movie	phim
game	trò chơi
sport	thể thao
dance	nhảy
art	nghệ thuật
cooking	nấu ăn
travel	du lịch
work	công việc
family	gia đình
friends	bạn bè
handsome	đẹp trai
pretty	xinh xắn
cute	dễ thương
smart	thông minh
funny	hài hước
kind	tốt bụng
helpful	tốt bụng
friendly	thân thiện
honest	trung thực
brave	dũng cảm
talented	tài năng
creative	sáng tạo
successful	thành công
confident	tự tin
stupid	ngu ngốc
boring	nhàm chán
mean	tàn nhẫn
selfish	ích kỷ
rude	thô lỗ
dishonest	không trung thực
cowardly	coi thường
untalented	không tài năng
uncreative	không sáng tạo
unsuccessful	không thành công
insecure	thiếu tự tin
friend	bạn bè
parent	cha mẹ
child	con cái
teacher	giáo viên
doctor	bác sĩ
nurse	y tá
police officer	cảnh sát
firefighter	lính cứu hỏa
soldier	lính
athlete	vận động viên
actor	diễn viên
singer	ca sĩ
dancer	nhảy
artist	nghệ sĩ
musician	nhạc sĩ
writer	nhà văn
scientist	nhà khoa học
engineer	kỹ sư
house	nhà
pen	bút
pencil	bút chì
paper	giấy
chair	ghế
table	bàn
bed	giường
jewelry	trang sức
money	tiền
home	nhà
go	đi
run	chạy
walk	đi bộ
sit	ngồi
stand	đứng
eat	ăn
sleep	ngủ
wake up	thức dậy
study	học
play	chơi
watch	xem
listen to	nghe
read	đọc
write	viết
draw	vẽ
sing	hát
swim	bơi
Flora	Thực vật
Photosynthesis	Quang hợp
Chlorophyll	Lục cầu
Botany	Thực vật học
Foliage	Tán lá
Roots	Rễ
Leaves	Lá
Stems	Thân cây
Branches	Cành cây
Seed	Hạt giống
Bud	Nụ
Petal	Cánh hoa
Pollen	Phấn hoa
Nectar	Mật hoa
Sap	Nước cây
Photosynthesize	Tiến行 quang hợp
Deciduous	Rụng lá
Evergreen	Luôn xanh
Perennial	Cây lâu năm
Annual	Cây một năm
Biennial	Cây hai năm
Coniferous	Có lá kim
Decompose	Phân hủy
Germinate	Nảy mầm
Pollinate	Bestäubung
Graft	Cấy ghép
Prune	Tỉa cành
Hybrid	Lai tạo
Photosynthetic	Có quang hợp
Fertilizer	Phân bón
Compost	Phân hữu cơ
Soil	Đất
Humus	Tro tàn cây
Mulch	Lớp phủ
Garden	Vườn
Orchard	Vườn cây ăn quả
Greenhouse	Nhà kính
Lawn	Bãi cỏ
Weed	Cỏ dại
Pest	Sâu bệnh
Insecticide	Thuốc trừ sâu
Herbicide	Thuốc diệt cỏ
Gardener	Người làm vườn
Horticulturist	Nhà vườn học
Arborist	Người chăm sóc cây cối
Landscaper	Người thiết kế cảnh quan
Florist	Người bán hoa
Bonsai	Cây cảnh
Tulip	Hoa tulip
Rose	Hoa hồng
Lily	Hoa Lily
Sunflower	Hoa hướng dương
Learning	Học tập
Knowledge	Kiến thức
Study	Học
Student	Học sinh
Teacher	Giáo viên
Classroom	Phòng học
Homework	Bài tập về nhà
Textbook	Sách giáo khoa
Library	Thư viện
Reading	Đọc
Writing	Viết
Grammar	Ngữ pháp
Vocabulary	Từ vựng
Exam	Kỳ thi
Quiz	Bài kiểm tra ngắn
Assignment	Bài tập
Essay	Bài tiểu luận
Report	Báo cáo
Project	Dự án
Group Work	Công việc nhóm
Presentation	Bài thuyết trình
Research	Nghiên cứu
Problem Solving	Giải quyết vấn đề
Critical Thinking	Tư duy phản biện
Analysis	Phân tích
Synthesis	Tổng hợp
Evaluation	Đánh giá
Comprehension	Hiểu biết sâu rộng
Concentration	Tập trung
Note-taking	Ghi chú
Time Management	Quản lý thời gian
Stress Management	Quản lý căng thẳng
Goal Setting	Đặt mục tiêu
Motivation	Động lực
Revision	Ôn tập
Practice	Luyện tập
Classmate	Bạn cùng lớp
Grade	Điểm số
Diploma	Bằng tốt nghiệp
Degree	Bằng cấp
Lecture	Bài giảng
Seminar	Hội thảo
Tutorial	Buổi hướng dẫn
Classical	Phong cách cổ điển
Experimental	Thí nghiệm
Literary	Thuộc văn học
Analytical	Phân tích
Theoretical	Lý thuyết
Practical	Thực hành
Interactive	Tương tác
Online Learning	Học trực tuyến
Distance Learning	Học từ xa
E-learning	Học điện tử
MOOC (Massive Open Online Course)	Khóa học trực tuyến đại trà
Assignment Deadline	Hạn nộp bài tập
Plagiarism	Sao chép bài viết của người khác
Citation	Trích dẫn
Bibliography	Danh mục tài liệu tham khảo
Peer Review	Xem xét bài viết bởi đồng nghiệp
Thesis	Luận án
Dissertation	Luận văn
Scholarship	Học bổng
Grant	Khoản tiền hỗ trợ nghiên cứu
Tuition	Học phí
